Entretien,Thème,Code,Verbatim,Fichier
D2SN14,Perception de l'IA comme outil d'apprentissage,1: Incertitude sur la progression réelle,est-ce que je progresse vraiment ou est-ce que je m’habitue juste à déléguer ma réflexion ?,D2SN14_segment_10.txt
D2SN14,Perception de l'IA comme outil d'apprentissage,2: L'IA comme outil neutre,"l’IA, c’est pas juste un cheat code, c’est un outil comme un autre",D2SN14_segment_10.txt
D2SN14,Perception de l'IA comme outil d'apprentissage,3: Utilisation responsable,ça dépend de comment tu l’utilises,D2SN14_segment_10.txt
D2SN14,Perception de l'IA comme outil d'apprentissage,4: Aide à la structuration des idées,"Si je m’en sers pour m’aider à structurer mes idées, à reformuler ou à mieux comprendre un sujet",D2SN14_segment_10.txt
D2SN14,Perception de l'IA comme outil d'apprentissage,5: Culpabilisation en cas d'utilisation passive,"dès que je sens que je deviens trop passif, que je prends ce qu’il me donne sans trop réfléchir",D2SN14_segment_10.txt
D2SN14,Perception de l'IA comme outil d'apprentissage,6: Dilemme moral,y’a un vrai dilemme moral,D2SN14_segment_10.txt
D2SN14,Perception de l'IA comme outil d'apprentissage,7: Risque de facilité,faut que je fasse gaffe à pas tomber dans la facilité,D2SN14_segment_10.txt
D2SN14,Perception de l'IA comme outil d'apprentissage,8: Utilisation active vs passive,"je bosse quand même derrière"" (utilisation active)",D2SN14_segment_10.txt
D2SN14,Perception de l'IA comme outil d'apprentissage,9: Réflexion sur la dépendance à l'IA,je m’habitue juste à déléguer ma réflexion,D2SN14_segment_10.txt
D2SN14,Impact de l'IA sur les pratiques d'apprentissage,1: Transformation des pratiques,l'usage de l'IA peut être quitte ou double,D2SN14_segment_10.txt
D2SN14,Impact de l'IA sur les pratiques d'apprentissage,2: Aide à l'optimisation du travail,aider l'humanité à mieux optimiser son travail,D2SN14_segment_10.txt
D2SN14,Impact de l'IA sur les pratiques d'apprentissage,3: Risque de dépendance,rendre l'humanité de plus en plus en trucs bêtes,D2SN14_segment_10.txt
D2SN14,Impact de l'IA sur les pratiques d'apprentissage,4: Changement dans les habitudes de travail,y’a déjà des collégiens qui utilisent ChatGPT,D2SN14_segment_10.txt
D2SN14,Impact de l'IA sur les pratiques d'apprentissage,5: Utilisation pour les pistes de travail,l'utilisation du travail pour les pistes,D2SN14_segment_10.txt
D2SN14,Impact de l'IA sur les pratiques d'apprentissage,6: Inquiétude sur l'avenir,ça va rendre de plus en plus en trucs qui entre guillemet bête,D2SN14_segment_10.txt
D2SN14,Impact de l'IA sur les pratiques d'apprentissage,7: Équilibre dans l'utilisation,quitte ou double,D2SN14_segment_10.txt
D2SN14,Impact de l'IA sur les pratiques d'apprentissage,8: Changement dans la manière d'apprendre,ça change la manière dont on apprend,D2SN14_segment_10.txt
D2SN14,Impact de l'IA sur les pratiques d'apprentissage,9: Impact sur la compréhension,aider l'humanité dans le sens où l'utilisation du travail pour les pistes,D2SN14_segment_10.txt
D2SN14,Impact de l'IA sur les pratiques d'apprentissage,10: Futur incertain,"soit ça va aider l'humanité, soit ça va rendre l'humanité de plus en plus en trucs bêtes",D2SN14_segment_10.txt
D2SN14,Changements dans la manière d'apprendre avec ChatGPT,1: Changement dans la perception de l'apprentissage,ça a changé la manière dont on voit l’apprentissage,D2SN14_segment_10.txt
