Entretien,Thème,Code,Verbatim,Fichier
LAU3,Intégration des outils numériques dans la préparation de cours,1: Utilisation de Chatchepété pour la création d'exercices,"Je vais lui demander, OK, fais-moi des exercices que pourraient faire les élèves.",Lau3_segment_1.txt
LAU3,Intégration des outils numériques dans la préparation de cours,2: Contrôle des contenus générés par l'outil,Après je contrôle tout.,Lau3_segment_1.txt
LAU3,Intégration des outils numériques dans la préparation de cours,3: Adaptation des ressources pour les besoins spécifiques,Je les enlève si les exercices sont trop compliqués.,Lau3_segment_1.txt
LAU3,Intégration des outils numériques dans la préparation de cours,4: Planification des cours,"On prépare nos cours, on prépare nos exercices, on prépare nos thématiques, etc.",Lau3_segment_1.txt
LAU3,Intégration des outils numériques dans la préparation de cours,5: Rôle de l'outil dans la préparation,"C'est pour m'aider, une fois que ma planification est faite...",Lau3_segment_1.txt
LAU3,Intégration des outils numériques dans la préparation de cours,6: Évolution de la conversation avec l'outil,"Cette conversation, elle évolue, là je pense que t'as une partie qui est terminée, ça s'actualise plus je crois.",Lau3_segment_1.txt
LAU3,Intégration des outils numériques dans la préparation de cours,7: Organisation des conversations avec l'outil,"J'ai plusieurs conversations et je les trie pour être sûr d'avoir une conversation sur tel sujet, etc.",Lau3_segment_1.txt
LAU3,Intégration des outils numériques dans la préparation de cours,8: Utilisation ciblée de l'outil pour des tâches spécifiques,Je parle pas tout sur la même conversation.,Lau3_segment_1.txt
LAU3,Intégration des outils numériques dans la préparation de cours,9: Vérification de la qualité des exercices générés,"Pour vérifier qu'il a bien fait les exercices que je voulais, dans l'ordre que je voulais.",Lau3_segment_1.txt
LAU3,Intégration des outils numériques dans la préparation de cours,10: Intégration de l'outil dans la pratique enseignante,C'est en lien avec mon stage en première année à l'HEP.,Lau3_segment_1.txt
LAU3,Formation et expérience universitaire antérieure,1: Choix de la formation antérieure,J'avais français et ciné.,Lau3_segment_1.txt
LAU3,Formation et expérience universitaire antérieure,2: Appréciation des cours suivis,C'était vraiment ce que j'ai préféré faire à l'uni.,Lau3_segment_1.txt
LAU3,Formation et expérience universitaire antérieure,3: Évaluation positive de l'expérience en cinéma,J'aimais beaucoup.,Lau3_segment_1.txt
LAU3,Formation et expérience universitaire antérieure,4: Perception de la difficulté des matières,"Français, tu cravaches un peu plus.",Lau3_segment_1.txt
LAU3,Formation et expérience universitaire antérieure,5: Intérêt pour les matières suivies,"Cinéma, c'est très intéressant.",Lau3_segment_1.txt
LAU3,Formation et expérience universitaire antérieure,6: Évolution de l'appréciation des cours au fil du temps,"T'apprends à apprécier le cours... Enfin, l'uni, au fur et à mesure.",Lau3_segment_1.txt
LAU3,Formation et expérience universitaire antérieure,7: Souhait initial de rejoindre l'HEP,C'est ce que je voulais faire de base.,Lau3_segment_1.txt
LAU3,Formation et expérience universitaire antérieure,8: Décision précoce de poursuivre une carrière dans l'enseignement,"Avant même d'entrer à l'uni, je savais que je voulais aller à l'HEP.",Lau3_segment_1.txt
LAU3,Formation et expérience universitaire antérieure,10: Orientation vers l'HEP comme un choix mûrement réfléchi,Pourquoi ? C'est... Avant même d'entrer à l'uni...,Lau3_segment_1.txt
LAU3,Rôle de la technologie dans les études et l'enseignement,1: Utilisation de Chatchepété pour la génération d'exercices,Fais-moi des exercices que pourraient faire les élèves.,Lau3_segment_1.txt
LAU3,Rôle de la technologie dans les études et l'enseignement,2: Impact de la technologie sur la préparation des cours,Ça nous demande de faire des planifications.,Lau3_segment_1.txt
LAU3,Rôle de la technologie dans les études et l'enseignement,3: Contrôle et adaptation des contenus générés,Je contrôle tout pour vérifier qu'il a bien fait les exercices.,Lau3_segment_1.txt
LAU3,Rôle de la technologie dans les études et l'enseignement,4: Expérience avec les outils numériques durant les études,Pas spécifiquement avec CHGPT ou simplement... De manière générale.,Lau3_segment_1.txt
LAU3,Rôle de la technologie dans les études et l'enseignement,6: Évaluation de l'utilité de l'outil pour les tâches d'enseignement,Je lui demande de faire des exercices en tirant en bas pour laisser la place pour les réponses.,Lau3_segment_1.txt
LAU3,Rôle de la technologie dans les études et l'enseignement,7: Gestion des contenus et conversations avec l'outil,J'ai plusieurs conversations et je les trie.,Lau3_segment_1.txt
