Thème,Code,Verbatim,Fichier
1: Fiabilité et qualité de l'information**,1: Manque de transparence sur les sources,"sur ChatGPT, tu ne le vois pas.",groupe_1_part_1.txt
1: Fiabilité et qualité de l'information**,2: Problème de vérifiabilité,je trouve ça un peu problématique,groupe_1_part_1.txt
1: Fiabilité et qualité de l'information**,3: Différence entre les sources d'information,"si une info vient de Valeurs Actuelles ou de L’Humanité, pour moi, ce n’est pas la même chose",groupe_1_part_1.txt
1: Fiabilité et qualité de l'information**,4: Préoccupation concernant l'orientation politique,ce n’est pas une orientation politique qui est volontaire,groupe_1_part_1.txt
1: Fiabilité et qualité de l'information**,5: Mécanisme de l'IA en cause,"c’est plus… euh… juste le mécanisme même de l’IA, de son entraînement et de sa base de données qui génère ça",groupe_1_part_1.txt
1: Fiabilité et qualité de l'information**,6: Inquiétude sur la qualité de l'information,je me dis que de toute façon on ne pourra pas le supprimer,groupe_1_part_1.txt
1: Fiabilité et qualité de l'information**,7: Besoin de savoir d'où viennent les informations,savoir euh… de quoi est composée toute la… je ne sais pas comment on appelle ça,groupe_1_part_1.txt
1: Fiabilité et qualité de l'information**,8: Importance de la transparence,"s’il donnait une source directement, peut-être que ça pourrait être…",groupe_1_part_1.txt
1: Fiabilité et qualité de l'information**,9: Limite de la technologie actuelle,je ne sais pas si ça existe déjà,groupe_1_part_1.txt
1: Fiabilité et qualité de l'information**,10: Inquiétude pour l'avenir,"ça peut un peu m’inquiéter des fois, en vrai",groupe_1_part_1.txt
2: Utilisation et amélioration de ChatGPT**,1: Importance de la connaissance de la base de données,"pour savoir de quoi il est, d’où sortent les infos qui nous viennent",groupe_1_part_1.txt
2: Utilisation et amélioration de ChatGPT**,2: Nécessité de réglementations,Est-ce qu’il y a des réglementations ou...,groupe_1_part_1.txt
2: Utilisation et amélioration de ChatGPT**,3: Acceptation de la technologie,de toute façon on ne pourra pas le supprimer,groupe_1_part_1.txt
2: Utilisation et amélioration de ChatGPT**,4: Stratégie d'amélioration,c’est vraiment juste à l’intégration,groupe_1_part_1.txt
2: Utilisation et amélioration de ChatGPT**,5: Recherche de solutions,bonne question… Bonne question ?,groupe_1_part_1.txt
2: Utilisation et amélioration de ChatGPT**,6: Disponibilité à discuter,y ’a pas de quoi,groupe_1_part_1.txt
2: Utilisation et amélioration de ChatGPT**,7: Utilisation basique,"mon usage basique ? Oui, je trouve que ça répond plutôt bien",groupe_1_part_1.txt
2: Utilisation et amélioration de ChatGPT**,8: Limite pour les tâches complexes,"pour des devoirs plus complets, je n’utiliserai pas de ChatGPT parce que je trouve que ce serait trop restreint",groupe_1_part_1.txt
2: Utilisation et amélioration de ChatGPT**,9: Fichage numérique,ça me permet de ficher plus rapidement euh Et donc je vais ficher déjà numériquement,groupe_1_part_1.txt
2: Utilisation et amélioration de ChatGPT**,10: Gain de temps,ça va me prendre beaucoup moins de temps,groupe_1_part_1.txt
3: Caractéristiques sociodémographiques**,1: Âge,Je suis né en juin2002,groupe_1_part_1.txt
3: Caractéristiques sociodémographiques**,2: Profession des parents,Mon père est agriculteur et ma mère cadre territoriale,groupe_1_part_1.txt
3: Caractéristiques sociodémographiques**,3: Niveau d'études des parents,Ils ont tous les deux un niveau master il me semble,groupe_1_part_1.txt
3: Caractéristiques sociodémographiques**,4: Situation géographique,"Actuellement j’habite dans le14e arrondissement, à Alésia",groupe_1_part_1.txt
3: Caractéristiques sociodémographiques**,5: Origine géographique,Je suis originaire d’une petite ville de la banlieue de Nancy,groupe_1_part_1.txt
3: Caractéristiques sociodémographiques**,6: Stabilité résidentielle,depuis bientôt2 ans,groupe_1_part_1.txt
3: Caractéristiques sociodémographiques**,7: Statut marital des parents,ils sont mariés,groupe_1_part_1.txt
3: Caractéristiques sociodémographiques**,8: Description de l'environnement familial,"(Non disponible directement, mais peut être déduit de la profession et du niveau d'études des parents)",groupe_1_part_1.txt
3: Caractéristiques sociodémographiques**,10: Transparence sur les informations personnelles,Oui pas de problème,groupe_1_part_1.txt
4: Organisation personnelle et planification**,1: Influence sur l'organisation,ça peut influencer ton organisation personnelle de ton agenda pour planifier tes sessions de travail,groupe_1_part_1.txt
4: Organisation personnelle et planification**,2: Meilleure planification,je peux avoir tendance à être moins stressée,groupe_1_part_1.txt
4: Organisation personnelle et planification**,3: Gain de flexibilité,je sais que je vais pouvoir gagner du temps,groupe_1_part_1.txt
4: Organisation personnelle et planification**,4: Équilibre entre vie personnelle et études,de bien jauger entre vie perso et étude,groupe_1_part_1.txt
4: Organisation personnelle et planification**,5: Impact sur la qualité du travail,"plutôt un gain de temps, je dirais",groupe_1_part_1.txt
4: Organisation personnelle et planification**,6: Valeur accordée au travail personnel,"la qualité du travail, tu considères qu'elle sera toujours meilleure si on l'a fait par nous-même",groupe_1_part_1.txt
4: Organisation personnelle et planification**,7: Utilité de l'outil pour les tâches simples,pour des fiches synthétiques de cours,groupe_1_part_1.txt
4: Organisation personnelle et planification**,8: Gain de temps pour les lectures,pour lire des gros documents,groupe_1_part_1.txt
4: Organisation personnelle et planification**,9: Réduction du stress,je peux avoir tendance à être moins stressée si jamais si jamais j'ai pris du retard,groupe_1_part_1.txt
4: Organisation personnelle et planification**,10: Meilleure gestion du temps,je sais que je vais pouvoir gagner du temps et je vais pouvoir euh être plus rapide pour faire certaines tâches,groupe_1_part_1.txt
5: Perception et satisfaction à l'égard de ChatGPT**,1: Satisfaction générale,je trouve que ça répond plutôt bien,groupe_1_part_1.txt
5: Perception et satisfaction à l'égard de ChatGPT**,2: Limites de l'outil,"si jamais je voulais pousser cette utilisation, je pense que ce ne serait pas suffisant",groupe_1_part_1.txt
5: Perception et satisfaction à l'égard de ChatGPT**,5: Stress lié à l'utilisation de l'outil,j'ai pu avoir des situations de stress dans le sens où par exemple j'avais un texte à lire et je n’ai pas eu je n’ai pas eu le temps de le lire,groupe_1_part_1.txt
5: Perception et satisfaction à l'égard de ChatGPT**,6: Dépendance à l'outil,j'avais juste les grandes idées en tête grâce à un résumé fait par,groupe_1_part_1.txt
5: Perception et satisfaction à l'égard de ChatGPT**,7: Concept flou,parfois il y a des concepts qui sont un peu flous,groupe_1_part_1.txt
5: Perception et satisfaction à l'égard de ChatGPT**,8: Ensemble de concepts,la liberté de la presse euh ça englobe à la fois le droit à l'information et à la fois le pluralisme médiatique,groupe_1_part_1.txt
5: Perception et satisfaction à l'égard de ChatGPT**,9: Demande de clarification,j'ai pu lui demander tous les concepts un peu qui découlaient de de la liberté de la presse pour voir si j'avais pensé à tout,groupe_1_part_1.txt
5: Perception et satisfaction à l'égard de ChatGPT**,10: Recherche de définitions,je vais me renseigner sur les définitions juridiques et littéraires qui sont données de ces concepts,groupe_1_part_1.txt
1: Parcours scolaire et universitaire**,1: Étudiant en sociologie,je suis à l'ENS Paris Saclay en M1 de sociologie contemporaine,groupe_1_part_2.txt
1: Parcours scolaire et universitaire**,2: Parcours scolaire varié,j'étais au lycée à Noisy-le-Grand... j'ai fait 2 ans de Prépa à Paris,groupe_1_part_2.txt
1: Parcours scolaire et universitaire**,3: Élite scolaire,Janson de Sailly dans le 16e Arrondissement,groupe_1_part_2.txt
2: Utilisation et perception de ChatGPT**,4: Utilisation de ChatGPT pour la programmation,je l'utilise même c'est parce que parfois fois ça te ça te sauve,groupe_1_part_2.txt
2: Utilisation et perception de ChatGPT**,5: Limites de ChatGPT,il reste encore complètement à côté de la plaque,groupe_1_part_2.txt
2: Utilisation et perception de ChatGPT**,6: Perception de l'utilité de ChatGPT,c'est vraiment très puissant et pour ce que je fais en tout cas,groupe_1_part_2.txt
3: Intégration de ChatGPT dans les pratiques**,7: Intégration dans les habitudes de travail,je l'utilise proche des échéances,groupe_1_part_2.txt
3: Intégration de ChatGPT dans les pratiques**,8: Utilisation pour la rédaction de mails,"je vais me servir de Deepl et tout même si c'est pas de chat GPT, mais c'est quand même de un peu de l’IA",groupe_1_part_2.txt
3: Intégration de ChatGPT dans les pratiques**,9: Changement dans la manière de travailler,ça me fait gagner du temps parce qu'en fait bah y a une phrase que j'arrive pas à formuler,groupe_1_part_2.txt
4: Questions éthiques et responsabilité**,10: Conscience écologique et impacts de l'IA,"je me suis plus quand même renseigné, notamment grâce au cours là donc je te parlais et en en général sur les effets écologiques qui sont faut le dire hein complètement désastreux",groupe_1_part_2.txt
4: Questions éthiques et responsabilité**,11: Perception de l'usage responsable de ChatGPT,"je pense qu'il y a beaucoup qui savent pas comment ça fonctionne, comment ce raisonnement probabiliste dont on parlait tout à l'heure en fait …",groupe_1_part_2.txt
4: Questions éthiques et responsabilité**,12: Impact de ChatGPT sur la confiance et le stress,j'avais pas trop révisé mais j’étais en mode pour être tranquille,groupe_1_part_2.txt
1: Stratégies de vérification des informations**,1: Recherche de sources multiples,"Tu vas faire tes recherches de ton côté, ou tu vas comparer avec ton cours, ou tu cherches d'autres sources.",groupe_1_part_3.txt
1: Stratégies de vérification des informations**,2: Utilisation de Google pour vérifier les informations,"En soi, Google c'est déjà une bonne source... pour chercher dans le même thème que le thème de la question qui a été posée à Chat GPT.",groupe_1_part_3.txt
1: Stratégies de vérification des informations**,3: Consultation d'experts ou de professeurs,"Même le prof ou un expert, quelqu'un qui connaît le sujet.",groupe_1_part_3.txt
1: Stratégies de vérification des informations**,4: Évaluation de la fiabilité en fonction du contexte,Ça dépend de l'importance de la véracité de la réponse.,groupe_1_part_3.txt
1: Stratégies de vérification des informations**,5: Utilité des rapports académiques,Tu trouves un peu rien à part des rapports académiques de 500 pages.,groupe_1_part_3.txt
1: Stratégies de vérification des informations**,6: Prise en compte de la spécificité du sujet,Quand c'est des sujets très spécifiques.,groupe_1_part_3.txt
1: Stratégies de vérification des informations**,7: Nécessité de vérifier les informations en fonction de l'importance de la réponse,"Si je demande... À Chat GPT et que, en fonction de la réponse, je vais faire un choix décisif sur un projet, je vais prendre du temps à chercher.",groupe_1_part_3.txt
1: Stratégies de vérification des informations**,8: Limites de YouTube comme source d'information,"Sur YouTube, il y a certaines personnes qui expliquent ces choses dans des vidéos, mais de nouveau, c'est pas... C'est toujours à prendre avec des pincettes.",groupe_1_part_3.txt
1: Stratégies de vérification des informations**,9: Utilité de Wikipédia pour trouver des sources supplémentaires,Il y a toujours Wikipédia qui te donne aussi beaucoup de sources différentes que tu peux aller voir par toi-même.,groupe_1_part_3.txt
1: Stratégies de vérification des informations**,10: Différence de traitement selon les domaines,"En fonction du domaine, c'est pas la même réflexion.",groupe_1_part_3.txt
2: Fiabilité des sources et utilisation de Chat GPT**,1: Limites de Google comme source d'information,C'est pas une source en soi.,groupe_1_part_3.txt
2: Fiabilité des sources et utilisation de Chat GPT**,2: Importance de diversifier les sources,"Tu peux chercher, voir ce qu'il se dit un peu.",groupe_1_part_3.txt
2: Fiabilité des sources et utilisation de Chat GPT**,3: Rôle des experts dans la vérification des informations,Quelqu'un qui connaît le sujet.,groupe_1_part_3.txt
2: Fiabilité des sources et utilisation de Chat GPT**,4: Problème de la spécificité et de la complexité des sujets,Sujets très spécifiques.,groupe_1_part_3.txt
2: Fiabilité des sources et utilisation de Chat GPT**,5: Utilité des rapports académiques,Rapports académiques de 500 pages.,groupe_1_part_3.txt
2: Fiabilité des sources et utilisation de Chat GPT**,6: Influence de la facilité d'utilisation,"Des fois, il y a de la flemme aussi.",groupe_1_part_3.txt
2: Fiabilité des sources et utilisation de Chat GPT**,7: Évaluation de la fiabilité en fonction du contexte,"Contexte aussi, parce que comme je l'ai dit avant.",groupe_1_part_3.txt
2: Fiabilité des sources et utilisation de Chat GPT**,8: Rôle de l'expérience personnelle,Je sais en moi que c'est un choix décisif.,groupe_1_part_3.txt
2: Fiabilité des sources et utilisation de Chat GPT**,9: Impact sur l'organisation du travail,"Ton organisation, ta productivité, etc.",groupe_1_part_3.txt
2: Fiabilité des sources et utilisation de Chat GPT**,10: Différence de confiance selon les domaines,"Si c'est pour... Je sais pas... Si je lui demande de faire une analyse de l'actualité d'un pays, ça va être beaucoup moins... C'est plus flou.",groupe_1_part_3.txt
3: Gain de temps et productivité**,1: Utilisation de Chat GPT pour gagner du temps,Ça t'aide à gagner du temps quand tu travailles.,groupe_1_part_3.txt
3: Gain de temps et productivité**,2: Amélioration de la qualité du travail,Améliore la qualité du travail.,groupe_1_part_3.txt
3: Gain de temps et productivité**,3: Utilisation de Chat GPT pour des tâches spécifiques,"Pour des questions de prog, je fais plus confiance à l'IA.",groupe_1_part_3.txt
3: Gain de temps et productivité**,4: Perception positive de l'impact de Chat GPT sur le travail,"Est-ce qu'il y a des améliorations, puis si oui, où est-ce que tu les observes un peu ?",groupe_1_part_3.txt
3: Gain de temps et productivité**,5: Limites de Chat GPT dans certains domaines,C'est moins... moins structuré.,groupe_1_part_3.txt
3: Gain de temps et productivité**,6: Attitude envers la technologie,"On est d'accord, c'est... centré sur Chat GPT.",groupe_1_part_3.txt
3: Gain de temps et productivité**,7: Intérêt pour l'utilisation de Chat GPT dans des contextes spécifiques,Pour des questions de prog.,groupe_1_part_3.txt
3: Gain de temps et productivité**,9: Utilisation de Chat GPT comme aide à la décision,"En fonction de la réponse, je vais faire un choix décisif sur un projet.",groupe_1_part_3.txt
4: Facteurs influençant l'utilisation de Chat GPT**,1: Confiance dans les capacités de Chat GPT,Je fais plus confiance à l'IA pour des questions de prog.,groupe_1_part_3.txt
4: Facteurs influençant l'utilisation de Chat GPT**,2: Nature de la tâche,"Prog, c'est quatre lignes de code.",groupe_1_part_3.txt
4: Facteurs influençant l'utilisation de Chat GPT**,3: Perception de la complexité de la tâche,"L'actualité c'est un truc... Il y a beaucoup de causes, il y a beaucoup de conséquences, c'est libre d’interprétation.",groupe_1_part_3.txt
4: Facteurs influençant l'utilisation de Chat GPT**,4: Attitude envers la technologie,"Faut une analyse, comme on dit, et que t'appliques ton point de vue et que tu as le point de vue des autres.",groupe_1_part_3.txt
4: Facteurs influençant l'utilisation de Chat GPT**,8: Impact sur l'apprentissage,"ce ressenti je l'ai eu, mais pas trop.",groupe_1_part_3.txt
4: Facteurs influençant l'utilisation de Chat GPT**,9: Sentiment négatif associé à la dépendance,"T'es bien parce que tu fais moins d'efforts mais quand tu te rends compte de ça, c'est pas un sentiment agréable.",groupe_1_part_3.txt
